cod_eve,fec_not,semana,año,cod_pre,cod_sub,cod_mun_,num_con,gru_1,gru_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,grupo_10,grupo_11,grupo_12,grupo_13,grupo_14,grupo_15,grupo_16,grupo_17,grupo_18,cas_sos,cas_pro,cas_conl,cas_conc,cas_conn,hombres,mujeres,vivos,muertos,pte_hos,pte_amb,cod_dpto_p,cod_mun_pr,bar_sector,sospe_even,cual_ot_ev,ajuste,fec_aju,version_a,nit_upgd,nom_upgd,ndep_notif,nmun_notif,ndep_proce,nmun_proce,version_b,unnamed:_52,unnamed:_53,suma_fed,suma_fed_<5,archivo_origen,carpeta_evento
998,2025-02-22,8,2025,7316800855,07,73168,1100223228,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,2,,0,2,2,0,0,2,73,168,CHAPARRAL,,,0,24/02/2025,,8090083622,IPS THE WALA CHAPARRAL,TOLIMA,CHAPARRAL,TOLIMA,CHAPARRAL,,2,0,1,0,BD-998.xlsx,raw
998,2025-02-22,8,2025,7348300855,04,73483,1100222774,2,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,,10,,5,5,10,0,0,10,73,483,THEWALA NATAGAIMA,,,0,24/02/2025,,8090095505,THE WALA IPS INDIGENA PUBLICA NATAGAIMA,TOLIMA,NATAGAIMA,TOLIMA,NATAGAIMA,,10,6,1,6,BD-998.xlsx,raw
998,2025-02-22,8,2025,7356300391,01,73563,1100223943,0,0,0,0,1,2,1,0,1,1,0,1,1,0,1,1,0,0,,,,10,,3,7,10,0,0,10,73,563,,,,0,24/02/2025,,8907014903,HOSPITAL SAN VICENTE DE PAUL,TOLIMA,PRADO,TOLIMA,PRADO,,10,0,2,0,BD-998.xlsx,raw
998,2025-02-22,8,2025,7326871071,00,73268,1100224450,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,1,,0,1,1,0,0,1,73,268,ESGON ,,,0,24/02/2025,,9004864391,ESCUELA DE POLICIA GABRIEL GONZALEZ,TOLIMA,ESPINAL,TOLIMA,ESPINAL,,1,0,0,0,BD-998.xlsx,raw
998,2025-02-22,8,2025,7367100704,01,73671,1100224974,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,4,,2,2,4,0,0,4,73,671,HOSPITAL SAN CARLOS,,,0,24/02/2025,,890701300,HOSPITAL SAN CARLOS ESE SALDAÑA TOLIMA,TOLIMA,SALDANA,TOLIMA,SALDANA,,4,0,0,0,BD-998.xlsx,raw
998,2025-02-22,8,2025,7367870125,00,73678,1100225193,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,,,,5,,5,0,5,0,0,5,73,678,CENOP,,,0,24/02/2025,,9004864391,ESCUELA NACIONAL DE ENTRENAMIENTO POLICIAL,TOLIMA,SAN LUIS,TOLIMA,SAN LUIS,,5,0,0,0,BD-998.xlsx,raw
998,2025-03-01,9,2025,7327500431,01,73275,1100225940,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,2,,1,1,2,0,0,2,73,275,9999999,,,0,01/03/2025,,79442653,LIBARDO  VARON YAZO,TOLIMA,FLANDES,TOLIMA,FLANDES,,2,0,0,0,BD-998.xlsx,raw
998,2025-04-12,15,2025,7344301021,01,73443,1100254323,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,2,,1,1,2,0,1,1,73,443,SIN INFORMACION,,,0,14/04/2025,,8907060673,HOSPITAL SAN JOSE ESE,TOLIMA,MARIQUITA,TOLIMA,MARIQUITA,,2,0,0,0,BD-998.xlsx,raw
998,2025-04-12,15,2025,7335200795,01,73352,1100254798,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,2,2,4,0,0,4,73,352,9999999,,,0,14/04/2025,,8907021903,HOSPITAL SUMAPAZ ESE,TOLIMA,ICONONZO,TOLIMA,ICONONZO,,4,1,0,1,BD-998.xlsx,raw
998,2025-04-19,16,2025,7344913600,99,73449,1100255367,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,,,,6,,6,0,6,0,0,6,73,449,2347474,,,0,19/04/2025,,8090033051,CPMSMELGAR,TOLIMA,MELGAR,TOLIMA,MELGAR,,6,0,0,0,BD-998.xlsx,raw
